Tag	Slope	RValue	PValue
HD Porn	0.110138151	0.9359761	2.27E-05
Popular With Women	0.053225002	0.909501946	0.000103525
Teen	0.028370711	0.915674053	7.60E-05
Babe	0.023730647	0.928058415	3.79E-05
Big Dick	0.022183496	0.924824533	4.60E-05
Step Fantasy	0.020706536	0.884282735	0.000301406
POV	0.019837316	0.874875307	0.000422454
Exclusive	0.018379437	0.744261805	0.00861821
Verified Amateurs	0.014935056	0.798990613	0.003176733
Small Tits	0.0136785	0.736399041	0.009754187
Big Ass	0.012573616	0.797337826	0.00328756
Verified Models	0.012157724	0.743316099	0.00874946
Blowjob	0.011356487	0.813243061	0.002332388
MILF	0.010379734	0.848316923	0.000965035
Closed Captions	0.010260312	0.73869188	0.009412311
Creampie	0.008659674	0.891809379	0.000225215
Blonde	0.007160215	0.604787789	0.048702118
Cumshot	0.005532095	0.705478805	0.015294087
Compilation	0.004997664	0.860114052	0.000682441
Pussy Licking	0.004452184	0.857370725	0.000741687
Red Head	0.002973359	0.872089352	0.000464514
Solo Female	0.002944527	0.720288201	0.012416387
60FPS	0.002438235	0.666439889	0.025138465
Threesome	0.002365761	0.634602378	0.035957823
Japanese	0.002211518	0.833924746	0.001419672
Casting	0.00196465	0.810125014	0.002500783
Role Play	0.001742177	0.757336931	0.006947165
Handjob	0.001593006	0.749964142	0.007857023
Russian	0.001564428	0.887127147	0.00027062
British	0.001561325	0.892476331	0.000219252
Czech	0.0015045	0.782397388	0.004423962
Bondage	0.001455721	0.748673252	0.008024858
College	0.001443183	0.675552302	0.022524304
Music	0.001394402	0.81885298	0.002050876
Old/Young	0.001386509	0.784788761	0.004225047
German	0.001378783	0.910976317	9.64E-05
Romantic	0.001120741	0.744426764	0.008595464
Interactive	0.000950748	0.73729276	0.009619872
French	0.000935122	0.704150963	0.015573581
Cosplay	0.000800522	0.870349556	0.00049234
Pissing	0.000581761	0.938923907	1.84E-05
Cuckold	0.000417714	0.792982396	0.003593343
Female Orgasm	0.000342414	0.62129938	0.041314563
Strap On	0.000335192	0.774625442	0.005118362
Muscular Men	0.000230872	0.775927896	0.004996747
Virtual Reality	0.000225611	0.618740118	0.042405059
Fingering	0.000116993	0.716419237	0.013126769
Smoking	0.000107075	0.780845911	0.004556658
360° in Virtual Reality	7.61E-06	0.62399274	0.040188081
Solo Male	4.78E-07	0.660379921	0.026991437
	-4.99E-05	-0.682662092	0.020623435
Funny	-0.002001272	-0.632270076	0.03685979
Vintage	-0.002154262	-0.638838649	0.034359116
Double Penetration	-0.003006636	-0.734173633	0.01009456
Mature	-0.003121302	-0.754689802	0.007264441
Asian	-0.003894243	-0.876559045	0.000398475
Euro	-0.006474942	-0.681974655	0.020802045
Orgy	-0.012124687	-0.773503963	0.005224814
